"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"125",0,1.67704756660944,0.944,0.538,0,"6","Apoe"
"126",0,1.5916977436996,0.764,0.216,0,"6","C1qc"
"127",0,1.51126855148977,0.605,0.149,0,"6","C1qa"
"128",0,1.43253036314793,0.825,0.277,0,"6","C1qb"
"129",1.78856523139912e-284,1.11963900554391,0.838,0.442,4.18524264147393e-280,"6","Ctsb"
"130",2.41074158674974e-274,1.56579825028948,0.657,0.263,5.64113531299439e-270,"6","Sepp1"
"131",1.83762481622204e-242,1.28965224437693,0.277,0.049,4.30004206995958e-238,"6","Maf"
"132",3.32731321686223e-228,1.17138754185748,0.549,0.191,7.78591292745762e-224,"6","Lgmn"
"133",1.44864151486089e-224,1.29322842232353,0.683,0.301,3.38982114477449e-220,"6","Wfdc17"
"134",4.58605027305988e-201,1.17512152411392,0.327,0.078,1.07313576389601e-196,"6","Pla2g7"
"135",3.59516340185013e-197,1.15576965887089,0.583,0.229,8.4126823603293e-193,"6","Mrc1"
"136",3.01412510310771e-189,1.10797028433113,0.419,0.126,7.05305274127205e-185,"6","Ms4a6c"
"137",6.4358034738046e-186,1.1199759242145,0.313,0.075,1.50597801287028e-181,"6","Ms4a6b"
"138",1.37811972994508e-137,1.00635999302622,0.263,0.069,3.22480016807148e-133,"6","Csf1r"
"139",1.20744564006834e-130,0.98109609099548,0.344,0.114,2.82542279775992e-126,"6","Trem2"
"140",9.00639437775743e-61,1.03950529012856,0.352,0.174,2.10749628439524e-56,"6","Ifi27l2a"
"141",1.39619455791952e-124,0.690247656472744,0.822,0.57,3.26709526553167e-120,"7","Ctss"
"142",3.35432243452331e-107,0.598326606899278,0.948,0.846,7.84911449678454e-103,"7","Lyz2"
"143",5.88883379817993e-91,0.497268991140578,0.924,0.858,1.3779871087741e-86,"7","Fth1"
"144",9.49848293036491e-89,0.676072822132129,0.706,0.487,2.22264500570539e-84,"7","Ctsd"
"145",8.64742969971494e-88,0.818228170139227,0.589,0.351,2.0234985497333e-83,"7","Chi3l3"
"146",2.98671013093858e-68,0.610278390754754,0.65,0.434,6.98890170639629e-64,"7","Ccl6"
"147",3.38057409651523e-42,0.77239940874696,0.297,0.159,7.91054338584564e-38,"7","Ear2"
"148",2.76389624737326e-40,0.516102915943748,0.527,0.369,6.46751721885342e-36,"7","Fcer1g"
"149",9.41422627758616e-40,0.585608585880746,0.541,0.416,2.20292894895516e-35,"7","Cd9"
"150",1.95409184777662e-39,0.766302786082435,0.3,0.167,4.57257492379729e-35,"7","Atp6v0d2"
"151",2.42106795543863e-39,0.498143860486954,0.552,0.397,5.66529901572639e-35,"7","Tyrobp"
"152",5.83885036539048e-21,0.489848321490862,0.34,0.239,1.36629098550137e-16,"7","Mrc1"
"153",7.43864842851095e-21,0.588865728565172,0.314,0.22,1.74064373227156e-16,"7","Msrb1"
"154",1.79243845899642e-20,0.606106209258871,0.269,0.176,4.19430599405162e-16,"7","Clec4n"
"155",6.82569439315862e-20,0.611743231748727,0.297,0.205,1.59721248799912e-15,"7","Mpeg1"
"156",6.61767080860247e-17,0.587435143077552,0.595,0.553,1.54853496921298e-12,"7","Apoe"
"157",1.48417204213867e-15,0.56610160737736,0.275,0.196,3.47296257860448e-11,"7","Cybb"
"158",1.7467889759523e-15,0.514665331901809,0.273,0.194,4.08748620372837e-11,"7","Lilrb4"
"159",4.27029807465228e-12,0.525291424126177,0.265,0.201,9.99249749468634e-08,"7","Cd302"
"160",9.57141637168065e-12,0.476391091813218,0.263,0.198,2.23971143097327e-07,"7","Cd68"
"161",0,3.17539688527067,0.571,0.013,0,"8","Ccl7"
"162",0,3.04399623819029,0.657,0.033,0,"8","Ccl2"
"163",0,2.6147081480727,0.444,0.017,0,"8","Ccl12"
"164",0,1.52668717285553,0.366,0.056,0,"8","Ms4a7"
"165",6.48542357144343e-280,1.20001063544406,0.735,0.283,1.51758911571776e-275,"8","C1qb"
"166",1.20966882959522e-260,1.36116711298396,0.357,0.071,2.83062506125282e-256,"8","Aif1"
"167",4.7708797150537e-244,1.16037763511234,0.632,0.223,1.11638585332257e-239,"8","C1qc"
"168",1.79578386388951e-223,1.10387506916048,0.288,0.053,4.20213424150144e-219,"8","C3ar1"
"169",2.39233545873182e-219,1.14793482236721,0.562,0.191,5.59806497343245e-215,"8","Lgmn"
"170",4.86071426863748e-207,0.992410610860699,0.815,0.445,1.13740713886117e-202,"8","Ctsb"
"171",5.75704060791886e-201,1.07144575516258,0.496,0.155,1.34714750225301e-196,"8","C1qa"
"172",3.39039519638891e-195,1.07838561473018,0.438,0.127,7.93352475955005e-191,"8","Ms4a6c"
"173",2.33026757651583e-175,1.07926591075643,0.383,0.108,5.45282612904704e-171,"8","Msr1"
"174",9.34364460527455e-153,0.959741647588959,0.291,0.072,2.18641283763424e-148,"8","Itgam"
"175",1.34651088017784e-150,0.926513012409865,0.302,0.076,3.15083545961615e-146,"8","Ms4a6b"
"176",2.56846916037883e-144,0.970319983608836,0.465,0.171,6.01021783528647e-140,"8","Tgfbi"
"177",2.30448409678381e-142,1.03908770242271,0.409,0.137,5.39249278647412e-138,"8","Ccl9"
"178",6.65573102328165e-133,0.981865686421789,0.692,0.394,1.55744105944791e-128,"8","Lgals3"
"179",1.42473692298354e-116,0.931176911991647,0.413,0.156,3.33388439978148e-112,"8","Dab2"
"180",2.08254417945707e-105,0.92123943321413,0.253,0.073,4.87315337992955e-101,"8","Cd14"
"181",0,1.49532316960304,0.354,0.038,0,"9","2810417H13Rik"
"182",0,1.402550901132,0.328,0.045,0,"9","Top2a"
"183",0,1.38181824040853,0.254,0.027,0,"9","Birc5"
"184",1.2231542651769e-296,1.3394797437828,0.32,0.05,2.86218098051394e-292,"9","Mki67"
"185",3.33233193265899e-264,1.21094351015414,0.367,0.071,7.79765672242205e-260,"9","Stmn1"
"186",3.63035291172404e-208,1.15233996701142,0.43,0.115,8.49502581343424e-204,"9","Hmgb2"
